Description,Africa-America,Africa-CentralAsia,Africa-EastAsia,Africa-SouthAsia,America-CentralAsia,America-EastAsia,America-SouthAsia,CentralAsia-EastAsia,CentralAsia-SouthAsia,EastAsia-SouthAsia
COL26A1,0.0938,0.0001,0.0001,0.1,1.0,1.0,0.7347,0.0001,0.3307,0.463
CUX1,0.7764,0.3168,0.9141,0.7723,0.382,0.893,0.676,0.4028,0.5417,0.7501
AC005096.1,0.2451,0.7391,0.3291,0.082,0.4982,0.9572,0.0045,0.7868,0.2049,0.0075
AC005072.1,0.1362,0.956,0.9008,0.0297,0.0808,0.2248,0.0018,0.8248,0.0865,0.1403
AC005086.1,0.1952,0.6252,0.39,0.0267,0.514,0.6382,0.0071,0.7417,0.0629,0.0198
AC005086.2,0.2164,0.2161,0.409,1.0,0.0001,0.428,0.4674,1.0,0.4196,0.6513
AC005088.1,0.7184,0.9475,0.7155,0.0685,1.0,0.6924,0.6568,1.0,0.3317,0.6491
SH2B2,0.3178,0.9124,0.9328,0.4636,0.4556,0.4187,0.8038,0.9029,0.5365,0.5194
AC091390.1,0.9413,0.9814,0.8674,0.4141,0.7415,0.5134,0.9014,0.5278,1.0,0.7351
AC091390.2,0.2604,1.0,0.952,0.9533,0.6971,0.4593,0.4534,0.4493,0.4628,0.0001
SPDYE6,0.5592,0.2973,0.0878,0.927,0.3548,0.2046,0.7856,0.6914,0.4539,0.2899
PRKRIP1,0.4741,0.6983,0.2586,0.3403,0.3901,0.6986,0.8468,0.3291,0.2619,0.7762
AC091390.4,0.4063,0.8316,0.2025,0.771,0.5503,0.6968,0.629,0.4982,0.9402,0.4859
AC091390.3,0.9159,0.7205,0.3684,0.5755,0.5949,0.4085,0.5534,0.7222,0.9071,0.7481
AC073517.1,0.2663,0.714,0.2766,0.8196,0.549,0.7374,0.7663,0.6367,0.6424,0.7659
ORAI2,0.945,0.8349,0.8038,0.9235,0.776,0.82,0.875,0.6525,0.9279,0.7462
ALKBH4,0.5582,0.5857,0.9265,0.7028,0.9781,0.5583,0.8407,0.5758,0.8552,0.6664
LRWD1,0.278,0.9195,0.5681,0.8359,0.3519,0.6266,0.2698,0.4954,0.8922,0.3918
MIR5090,0.0789,0.9759,0.3411,0.1701,0.5611,0.9435,0.9926,0.8533,0.811,1.0
POLR2J,0.2812,0.5541,0.8717,0.5557,0.7225,0.5608,0.6174,0.8695,0.9439,0.861
RASA4B,0.2704,0.8712,0.689,0.4384,0.4074,0.6486,0.117,0.4934,0.4451,0.1848
AC093668.3,0.1828,0.6247,0.1714,0.5684,0.2001,0.9833,0.1577,0.2182,0.9309,0.1725
SPDYE2,0.0619,0.5142,0.9032,0.7534,0.1945,0.4139,0.0615,0.84,0.5568,0.7729
POLR2J3,0.145,0.6349,0.4822,0.111,0.2942,0.299,0.0236,0.4402,0.1737,0.6241
RASA4,0.3935,0.2693,0.3004,0.4402,0.2172,0.9661,0.8868,0.1556,0.2037,0.8443
AC105052.4,0.4786,0.5663,0.1755,0.6023,0.882,0.1897,0.8399,0.1126,0.9349,0.1399
UPK3BL1,0.1862,0.6529,0.7636,0.687,0.4354,0.2658,0.2738,0.868,0.9544,0.8975
SPDYE2B,0.0282,0.1891,0.8355,0.7527,0.2796,0.0684,0.0485,0.2754,0.2116,1.0
POLR2J2,0.4169,0.764,0.3423,0.7517,0.3541,0.2374,0.3187,0.3972,0.7311,0.6211
RASA4DP,0.941,0.6281,0.5356,0.8365,0.2756,0.4542,0.7711,0.0873,0.3243,0.5685
FAM185A,0.4398,0.3262,0.4737,0.5342,0.8438,0.9528,0.2978,0.7877,0.25,0.334
AC105052.2,0.8546,0.4709,0.7398,0.755,0.7458,0.9711,0.9531,0.6083,0.5951,0.9724
FBXL13,0.5579,0.4456,0.7334,0.7595,0.9295,0.408,0.8645,0.2203,0.3475,0.5293
RN7SKP198,0.707,0.2229,0.0638,0.1282,0.454,0.4625,0.2153,1.0,0.7915,0.7658
LRRC17,0.841,0.0085,0.8578,0.7486,0.0386,0.7683,0.6927,0.0342,0.007,0.996
AC073127.1,0.9522,0.9478,0.1757,0.1787,0.0001,0.4568,0.3607,0.4194,0.4509,0.7581
ARMC10,0.5436,0.3438,0.907,0.0502,0.2871,0.6965,0.0771,0.3601,0.3734,0.0649
CRYZP1,0.0031,0.6964,0.0646,0.7505,0.0601,0.9636,0.0406,0.4565,0.6004,0.2346
NAPEPLD,0.0293,0.9738,0.0205,0.9909,0.078,0.9994,0.1048,0.0447,0.9731,0.0809
AC007683.1,0.2155,0.4802,0.3292,0.7001,0.0482,0.0555,0.0495,0.8085,0.716,0.6239
RPL23AP95,0.0957,0.4219,0.6844,0.4817,0.4908,0.2864,0.0342,0.7064,0.1779,0.3352
AC007683.2,0.0972,0.1336,0.0453,0.7115,0.7121,0.8386,0.4599,0.7393,0.5065,0.3158
DPY19L2P2,0.1705,0.8013,0.0515,0.6679,0.3231,0.5593,0.1399,0.2927,0.5318,0.1244
S100A11P1,0.5033,0.9477,0.9535,0.9504,0.4509,0.3487,0.35,0.0001,0.0001,0.0001
PMPCB,0.1669,0.4223,0.818,0.0252,0.6459,0.1882,0.2542,0.5216,0.193,0.0302
DNAJC2,0.0116,0.2251,0.1122,0.3998,0.2087,0.2245,0.1069,0.7939,0.7603,0.584
PSMC2,0.1048,0.3208,0.4711,0.1003,0.5717,0.3824,0.9771,0.7438,0.5594,0.3834
RPS29P16,0.2498,0.919,0.4456,0.901,0.3029,0.0881,0.2696,0.5108,0.9965,0.5381
SLC26A5,0.611,0.512,0.7973,0.5713,0.442,0.4804,0.248,0.8022,0.8484,0.7942
RELN,0.0975,0.0001,0.0001,0.0181,1.0,1.0,0.19,0.0001,0.1632,0.0387
ORC5,0.622,0.6491,0.4167,0.0634,0.9872,0.753,0.1923,0.7985,0.2479,0.2869
LHFPL3,0.6297,0.4138,0.3018,0.7325,0.4269,0.1861,0.8334,0.0661,0.4266,0.2697
EIF4BP6,0.0009,0.0036,0.1501,0.8612,0.4423,0.1104,0.0084,0.2981,0.0014,0.2002
LHFPL3-AS1,0.1656,0.73,0.2778,0.1814,0.1798,0.2877,0.0729,0.5384,0.3006,0.8612
LHFPL3-AS2,0.1372,0.4865,0.7477,0.2132,0.2472,0.0246,0.4077,0.1709,0.4366,0.0465
RN7SL8P,0.8252,0.5765,0.8017,0.8201,1.0,0.8766,0.6892,0.3226,1.0,1.0
AC007384.1,0.5284,0.3479,0.3628,0.2974,0.2581,0.2616,0.2317,0.957,0.9445,0.9248
LINC01004,0.7877,0.8332,0.6608,0.6546,0.9947,0.5872,0.5483,0.6302,0.6082,0.9781
KMT2E-AS1,0.9586,0.9156,0.4045,0.1554,0.9729,0.5791,0.4103,0.625,0.461,0.6281
KMT2E,0.7997,0.4252,0.2201,0.7212,0.6928,0.2643,0.9035,0.0938,0.9072,0.2914
AC005070.3,0.8093,0.6302,0.4542,0.0647,0.9258,0.5276,0.1824,0.4311,0.1628,0.4783
SRPK2,0.2828,0.2723,0.1533,0.268,0.0815,0.7794,0.0859,0.009,0.9372,0.0416
AC005070.2,0.0001,0.0001,0.0062,0.3322,0.0001,0.0636,0.0731,0.0699,1.0,0.695
RWDD4P1,0.6797,0.2188,0.5498,0.7737,0.1575,0.7989,0.8785,0.2202,0.1477,0.8156
AC004884.2,0.3239,0.8755,0.3937,0.8282,0.5151,0.0915,0.1759,0.4263,1.0,0.3358
PUS7,0.0157,0.4335,0.207,0.1899,0.1463,0.2771,0.0185,0.6013,0.0511,0.066
AC073073.1,0.6117,0.0788,0.1274,0.1204,0.2392,0.3456,0.2856,0.9549,0.6695,0.7775
RINT1,0.4305,0.974,0.3463,0.1935,0.4192,0.8446,0.0234,0.3625,0.0965,0.0223
EFCAB10,0.7639,0.9121,0.4407,0.337,0.6572,0.6386,0.1725,0.4303,0.3351,0.1174
AC073073.2,0.2654,0.4501,0.1694,0.5933,0.8593,0.8709,0.6198,0.6702,0.7887,0.447
YBX1P2,0.5752,0.9835,0.2579,0.9995,0.7036,0.6252,0.8659,0.4459,1.0,0.4104
ATXN7L1,0.582,0.3969,0.0446,0.4054,0.6832,0.0543,0.805,0.0369,0.9367,0.0292
AC005099.1,0.713,0.6234,0.8663,0.8631,1.0,0.5384,0.2812,1.0,0.2467,0.8829
CDHR3,0.8373,0.6974,1.0,0.0748,0.9783,0.9055,0.2975,0.8528,0.2844,0.1731
SYPL1,0.2345,0.4566,0.1685,0.1362,0.1354,0.9455,0.0522,0.0361,0.3355,0.0096
DCAF13P1,0.452,0.717,0.2969,0.3052,0.5987,1.0,1.0,0.5751,0.733,0.6889
NAMPT,0.1484,0.5558,0.1701,0.2265,0.1015,0.9132,0.0278,0.0784,0.2928,0.0234
AC007032.1,0.2896,0.2952,0.8997,0.6174,0.8895,0.2148,0.7104,0.2223,0.7749,0.9482
AC004917.1,0.765,1.0,0.3674,1.0,1.0,0.9946,1.0,0.418,1.0,0.456
AC005050.1,0.1053,0.9979,0.057,0.009,0.4078,0.7213,0.5756,0.3616,0.1114,0.986
AC005050.2,0.4921,0.9528,0.1323,0.7195,0.4603,0.6738,0.7239,0.3552,1.0,0.4512
CCDC71L,0.5867,0.8964,0.4221,0.908,0.5432,0.8717,0.5775,0.4174,0.9801,0.321
PIK3CG,0.0844,0.3812,0.8864,0.4823,0.0682,0.3206,0.0981,0.7387,0.9559,0.6319
PRKAR2B,0.3368,0.3709,0.4832,0.406,0.1764,0.1737,0.1729,0.9983,0.9982,1.0
AC006387.1,0.5342,0.2761,0.7927,0.7908,0.0001,0.4221,0.2877,1.0,1.0,0.6889
HBP1,0.8216,0.4896,0.4611,0.1883,0.3665,0.6456,0.143,0.1154,0.3677,0.0415
AC004492.1,0.0003,0.4306,0.0125,0.5038,0.0056,0.2023,0.0187,0.1232,0.933,0.2483
COG5,0.5095,0.5797,0.4505,0.1999,0.251,0.9539,0.0834,0.1541,0.2683,0.0423
AC002381.1,0.9498,1.0,1.0,0.4964,0.4732,0.2784,0.4633,0.6111,0.6499,0.653
GPR22,0.7525,0.7746,0.2075,0.04,0.9197,0.3931,0.0548,0.4527,0.1254,0.5568
DUS4L,0.2772,0.629,0.2473,0.2921,0.5732,1.0,0.0865,0.5301,0.0892,0.0507
AC004839.1,0.8311,0.8565,0.7739,0.3009,0.7856,0.9044,0.3239,0.784,0.5997,0.2609
BCAP29,0.7591,0.1584,0.2734,0.1843,0.0929,0.503,0.1229,0.0069,0.8864,0.033
RF01233,0.7144,0.948,0.7128,0.4514,0.0001,0.0001,0.4365,0.0001,0.3317,0.4443
WBP1LP2,0.3973,0.8639,0.5074,0.8774,0.4541,0.9656,0.5892,0.5935,0.8003,0.7871
SLC26A4-AS1,0.657,0.2876,0.2155,0.0267,1.0,0.6048,0.4196,0.1671,0.1303,0.6485
SLC26A4,0.0279,0.0078,0.0626,0.797,0.9566,0.7253,0.1174,0.6235,0.0333,0.2557
AC002467.1,0.1049,0.538,0.647,0.3464,0.2251,0.0741,0.4295,0.8197,0.7066,0.501
CBLL1,0.3153,0.448,0.4443,0.1386,0.0955,0.8508,0.0208,0.0931,0.1714,0.0197
SLC26A3,0.5126,0.9938,0.5238,0.52,0.4605,0.0001,0.0001,0.4574,0.466,0.0001
DLD,0.9313,0.4356,0.4756,0.1295,0.3549,0.4635,0.0776,0.2007,0.3191,0.0462
LAMB1,0.6406,0.1251,0.2603,0.3549,0.6042,0.6617,0.282,0.768,0.0287,0.0101
AC005046.1,0.6363,0.8144,0.6725,0.636,0.5753,0.7881,1.0,0.7216,0.6803,0.8554
LAMB4,0.72,0.9523,0.903,0.6239,0.0001,0.2939,1.0,1.0,1.0,0.5378
NRCAM,0.5668,0.7767,0.0055,0.9787,0.0751,0.0017,0.0265,0.0446,0.5088,0.0077
PNPLA8,0.304,0.7112,0.1921,0.2813,0.1225,0.7273,0.0357,0.1222,0.35,0.0293
RPL7P32,0.0391,0.6698,0.5009,0.2746,0.0054,0.1288,0.0275,0.2297,0.5451,0.1914
THAP5,0.578,0.5751,0.54,0.2099,0.2117,0.9209,0.0497,0.2714,0.373,0.0803
DNAJB9,0.8942,0.6872,0.6776,0.2122,0.524,0.7603,0.116,0.3872,0.2219,0.0903
AC005487.1,0.5617,0.3349,0.2163,0.1985,1.0,0.7052,0.1664,0.0001,0.0717,0.0369
AC092167.1,0.3875,0.5182,0.383,0.5778,0.1629,0.1609,0.933,0.0001,0.8391,0.4258
IMMP2L,0.4655,0.1455,0.165,0.756,0.1792,0.749,0.4869,0.0421,0.3707,0.203
AC073326.1,0.6627,0.4927,0.3957,0.4619,0.849,0.7021,0.3121,1.0,0.2287,0.1826
LRRN3,0.4212,0.3534,0.8054,0.7077,0.8216,0.8392,0.814,0.6195,0.6335,1.0
AC003989.2,0.5403,0.2777,1.0,0.5724,0.0001,0.2896,0.931,1.0,0.9215,0.6165
AC003989.1,0.0536,0.9567,0.3466,0.3848,0.2306,0.3628,0.2275,0.5941,0.6455,0.9909
DOCK4,0.4693,0.5331,0.0911,0.2172,0.1474,0.2109,0.6573,0.4577,0.0586,0.1167
ZNF277,0.2929,0.3376,0.5976,0.0461,0.9475,0.1005,0.195,0.141,0.1862,0.0131
RN7SKP187,0.1678,0.1796,0.1694,0.4454,0.8535,1.0,0.032,0.9223,0.0265,0.031
AC004112.1,0.1001,0.0001,0.0112,0.049,0.4733,1.0,0.7627,0.3271,0.4533,0.7688
IFRD1,0.8213,0.7584,0.6883,0.1903,0.9181,0.464,0.1487,0.398,0.1312,0.0324
AC079741.1,0.987,0.2914,0.554,0.5634,1.0,0.8524,0.9799,0.7643,1.0,1.0
LSMEM1,0.2047,0.1065,0.3198,0.0237,0.9193,0.7895,0.5871,0.6519,0.6228,0.3591
MIPEPP1,0.0001,0.0001,0.3341,0.0889,0.0001,0.2869,0.4174,1.0,0.4001,0.7308
TMEM168,0.0599,0.8239,0.057,0.6523,0.0477,0.9465,0.0286,0.0348,0.7165,0.0143
BMT2,0.0485,0.5108,0.0203,0.476,0.0584,0.8532,0.0508,0.0212,0.9378,0.0156
AC018464.1,0.6353,0.2209,0.7165,0.07,0.6026,1.0,0.994,0.4561,1.0,0.4651
GPR85,0.0344,0.7606,0.8414,1.0,0.2777,0.1884,0.1411,1.0,0.6929,0.9454
AC073346.1,0.7995,0.5556,0.53,0.5259,1.0,1.0,1.0,0.0001,0.0001,0.0001
SMIM30,0.267,0.5572,0.2974,0.1112,0.1445,0.9692,0.0191,0.1702,0.2261,0.0161
FOXP2,0.4798,0.5212,0.9827,0.0489,0.8814,0.5244,0.3358,0.6205,0.482,0.1992
MDFIC,0.0669,0.6659,0.1768,0.3523,0.0348,0.834,0.0102,0.17,0.4882,0.0439
LINC01393,0.2605,0.6887,0.9294,0.7284,0.5256,0.3525,0.2761,0.6132,0.454,0.8155
TFEC,0.4054,0.1702,0.2588,0.1073,0.0702,0.4341,0.0499,0.3532,0.998,0.3239
AC073130.3,0.2265,0.745,0.1523,0.7001,0.1561,0.7434,0.5796,0.27,0.5206,0.5041
TES,0.9029,0.5718,0.394,0.3375,0.6567,0.4155,0.3406,0.3099,0.7047,0.1654
AC073130.2,0.75,0.3414,0.4013,0.3299,0.3129,0.7247,0.815,0.1767,0.0958,0.835
AC002066.1,0.9748,0.4075,0.8246,1.0,0.3186,1.0,0.906,0.3225,0.3323,0.9038
CAV2,0.3796,0.3594,0.8664,0.3726,0.3781,0.9423,0.8472,0.8555,0.5243,0.8886
CAV1,0.3539,0.3693,0.3992,0.1875,0.203,0.8543,0.6885,0.1084,0.2046,0.5567
MET,0.0223,0.8052,0.7468,0.0558,0.2236,0.3158,0.8595,0.8415,0.2992,0.254
CAPZA2,0.5884,0.4838,0.4183,0.2573,0.2025,0.7951,0.0879,0.1793,0.5768,0.0668
AC002543.1,0.9968,0.57,0.323,0.3542,0.2922,0.3226,0.4733,0.7005,0.8675,0.9729
ST7-AS1,0.1854,0.8998,0.2293,0.5108,0.3392,0.7645,0.442,0.1912,0.0881,0.4846
RF02179,0.9065,0.9545,0.721,0.7156,1.0,1.0,1.0,1.0,0.0001,0.7056
RF02180,0.1217,0.9988,0.657,0.7943,0.2648,0.7044,0.2647,1.0,0.8073,1.0
ST7,0.5767,0.5412,0.5921,0.4995,0.8471,0.4351,0.8182,0.4469,0.95,0.4088
ST7-OT4,0.5147,0.161,0.1831,0.0597,0.0988,0.5552,0.2958,0.08,0.0311,0.6348
RF02187,0.4192,0.9922,1.0,0.044,0.5866,0.7112,0.3975,0.9964,0.1791,0.1171
RF02188,0.86,0.8888,0.8713,0.4147,0.8452,0.8544,0.6531,0.8884,0.5429,0.9929
RF02189,0.7577,0.2702,0.5792,0.7905,0.1672,0.9447,0.6112,0.153,0.4342,0.4425
RF02190,0.8251,0.9309,0.1117,0.9366,1.0,0.2065,0.692,0.2052,1.0,0.2061
AC106873.1,0.9635,0.4222,0.5157,0.0161,0.3525,0.5359,0.0635,0.9698,0.2526,0.2614
TPM3P1,0.316,0.482,0.0571,0.0162,0.2062,0.1432,0.0604,0.3633,0.2089,0.5851
ST7-AS2,0.7546,0.3678,0.2401,0.0259,0.8347,0.3492,0.1091,0.1963,0.0794,0.389
RF02184,0.5614,0.551,0.7916,1.0,0.8001,0.8629,0.859,0.5409,0.5393,1.0
WNT2,0.4876,0.2676,0.8819,0.2483,0.2281,0.1439,0.2773,0.038,0.7499,0.0227
ASZ1,0.6331,0.9252,0.8645,0.581,0.4626,0.4399,0.2845,0.6676,0.8872,0.654
CFTR,0.4179,0.398,0.2914,0.8966,0.3001,0.1706,0.5654,0.6697,0.5576,0.1894
CTTNBP2,0.9526,0.652,0.6383,0.9336,0.766,0.5596,0.8905,0.4369,0.6819,0.9856
LSM8,0.9308,0.6255,0.4478,0.2299,0.6707,0.4548,0.2367,0.3042,0.4683,0.0884
ANKRD7,1.0,0.0724,0.0971,0.5795,0.2218,0.1857,0.7697,0.8296,0.1412,0.1465
KCND2,0.3341,0.3872,0.0137,0.6649,0.8942,0.1442,0.1534,0.1553,0.1153,0.0291
AC004888.1,0.866,0.6137,0.0462,0.5539,1.0,0.0859,0.6496,0.0174,0.4229,0.4536
TSPAN12,0.6606,0.5477,0.2202,0.3384,0.8543,0.0867,0.5349,0.0449,0.6339,0.0151
ING3,0.738,0.7873,0.2258,0.3019,0.5182,0.4086,0.1916,0.1007,0.3223,0.0401
CPED1,0.6466,0.7152,0.9206,1.0,0.1941,0.5224,0.5587,0.8813,0.455,0.7284
WNT16,0.568,0.6486,0.4066,0.7959,0.2491,0.235,0.2615,0.6803,0.8949,0.5626
FAM3C,0.8409,0.4729,0.4041,0.288,0.2281,0.5612,0.1262,0.2437,0.5571,0.0997
AASS,0.5157,0.4937,0.1803,0.7997,0.8757,0.0557,0.5998,0.475,0.5788,0.1393
AC006020.1,0.3088,0.9518,0.7123,0.0449,1.0,0.7134,0.2985,0.0001,0.1711,0.0649
FEZF1,0.7207,0.9499,0.7221,0.1317,0.0001,0.2772,0.1063,1.0,0.2357,0.7917
FEZF1-AS1,0.5269,0.5572,0.657,0.0944,0.0001,1.0,0.0278,1.0,0.3622,0.7363
CADPS2,0.6391,0.3247,0.7434,0.3003,0.2245,0.8581,0.2795,0.4506,1.0,0.3986
RPS26P31,0.9539,0.9239,1.0,0.0853,0.4596,0.2856,0.1285,0.8149,0.248,0.2713
RNF133,0.0398,0.2118,0.1693,0.7233,0.7701,0.987,0.1557,0.5407,0.4599,0.7084
RNF148,0.8149,0.34,0.5729,0.8669,0.1907,1.0,0.9493,0.1569,1.0,1.0
SLC13A1,0.905,0.9513,0.9122,0.5057,1.0,1.0,0.9941,1.0,0.3342,0.9939
IQUB,0.4523,0.9467,0.5974,0.29,0.4788,0.8776,0.0422,0.5007,0.6496,0.0843
AC073323.1,0.3371,0.0001,0.0943,0.0001,1.0,0.4153,0.7115,0.4559,0.0001,0.3524
NDUFA5,0.9742,0.4203,0.65,0.3096,0.3538,0.6705,0.2091,0.2285,0.8668,0.1062
ASB15,0.7233,0.069,0.1852,0.0481,0.3876,0.5073,0.3965,0.5459,0.8665,0.595
LMOD2,0.0001,0.0001,0.0248,0.095,0.0001,0.2265,0.4604,0.2482,0.3378,0.4743
WASL,0.3775,0.459,0.714,0.402,0.075,0.6038,0.0659,0.2188,0.9153,0.1815
AC006333.2,0.5363,0.4203,0.745,0.7745,0.1995,0.7629,0.3062,0.2622,0.524,0.4873
HYAL6P,0.7769,0.7243,0.6973,0.1156,0.4869,1.0,0.1678,0.3467,0.4423,0.1691
HYAL4,0.1615,0.407,0.2318,0.4212,0.2419,0.6918,0.5432,0.1673,0.2212,0.6899
SPAM1,0.7149,0.9487,0.3087,0.1029,0.0001,0.4238,0.4611,1.0,0.4524,0.7158
AC006148.1,0.8617,0.6134,0.6271,0.2955,1.0,1.0,0.6209,0.0001,1.0,0.0741
GPR37,0.7216,0.9495,0.72,0.8911,0.0001,0.2875,0.071,1.0,1.0,0.8676
POT1,0.334,0.9558,0.4383,0.165,0.3554,0.7704,0.0271,0.3927,0.0885,0.0102
POT1-AS1,0.5319,0.5098,0.708,1.0,0.9056,0.4648,0.6987,0.4063,0.626,0.7278
EEF1GP1,0.0097,0.1951,0.3305,0.021,0.2235,0.091,0.5581,0.8061,0.3931,0.2511
GRM8,0.2677,0.5714,0.4245,0.1501,0.6574,0.1473,0.8271,0.3504,0.498,0.0864
AC000099.1,0.3373,0.1,0.0001,0.3407,0.6351,1.0,1.0,0.4631,0.496,0.0706
ZNF800,0.0302,0.8529,0.0974,0.3743,0.0271,0.7591,0.0082,0.1134,0.2038,0.018
AC000123.2,0.3986,0.261,0.5667,0.1537,0.7153,0.8242,0.5131,0.596,0.8668,0.4363
AC000123.1,0.4866,0.2285,0.9651,0.1472,0.5775,0.4642,0.4289,0.0659,0.7023,0.0883
AC000123.3,0.0623,0.4283,0.0191,0.7753,0.2606,0.7023,0.1297,0.1424,0.5345,0.0486
GCC1,0.79,0.6924,0.4453,0.5398,0.4339,0.6294,0.3282,0.2073,0.8068,0.1731
ARF5,0.7405,0.3646,0.9506,0.9997,0.586,0.8017,0.7899,0.4454,0.387,0.9636
FSCN3,0.2826,0.2693,0.5422,0.9514,0.9453,0.6437,0.4316,0.6291,0.4647,0.6495
SND1,0.5973,0.6671,0.9038,0.3471,0.9409,0.6707,0.6037,0.7404,0.5913,0.4973
AC006529.1,0.2006,0.4977,0.9971,0.06,0.0448,0.2182,0.0027,0.5643,0.4555,0.1542
SND1-IT1,0.0108,0.6915,0.7396,0.0776,0.1131,0.3059,0.0042,0.7205,0.246,0.4107
LRRC4,0.5435,0.7926,0.325,0.2135,0.9711,0.4885,0.4824,0.5412,0.5731,0.7403
LEP,0.9088,0.95,0.7203,0.3291,1.0,1.0,0.5398,0.0001,1.0,1.0
AC018635.2,0.719,0.9743,0.7223,0.1669,0.8509,0.713,0.8688,0.4681,0.8075,0.0725
RBM28,0.8736,0.6463,0.6812,0.1679,0.5512,0.8461,0.1648,0.4924,0.3221,0.1598
AC018635.1,0.1338,0.788,0.0932,0.9778,0.2215,0.7228,0.2077,0.2456,0.7805,0.1962
PRRT4,0.7951,0.286,0.8658,0.5736,1.0,1.0,0.8602,1.0,1.0,0.8606
IMPDH1,0.626,0.9723,0.6463,0.7467,0.6901,0.9963,0.9431,0.7266,0.8329,0.9561
AC010655.1,0.6854,1.0,0.577,0.5051,0.6852,0.6734,0.5231,0.4345,0.7283,0.3558
HILPDA,0.2664,0.3693,0.232,0.6323,0.1869,0.8879,0.329,0.1709,0.9119,0.2978
AC010655.3,0.0356,0.5283,0.1851,0.673,0.1757,0.6728,0.0048,0.5318,0.1394,0.1052
METTL2B,0.2494,0.9287,0.1084,0.4455,0.3606,0.605,0.1147,0.2203,0.3512,0.0928
RF00017,0.4227,0.5272,0.4777,0.5545,0.878,0.9334,0.1105,1.0,0.1951,0.1346
AC090114.2,0.5408,0.83,0.2111,0.0657,0.7523,0.2338,0.0682,0.3432,0.0949,0.9891
AC090114.3,0.0143,0.2056,0.0001,0.4394,0.5629,0.0569,0.3048,0.1098,0.5782,0.0218
AC090114.1,0.1335,0.1389,0.1017,0.8557,0.9224,1.0,0.0645,0.9232,0.0643,0.0502
AC018638.8,0.0049,0.0873,0.0737,0.4104,0.6919,0.9201,0.331,0.7741,0.5434,0.5525
AC018638.4,0.3186,0.7113,0.0619,0.9574,0.5482,0.5341,0.3041,0.3639,0.7609,0.1529
AC018638.2,0.5072,0.7344,0.2054,0.9648,0.7205,0.6363,0.5587,0.5434,0.8106,0.4047
AC018638.1,0.7891,0.7433,0.1823,0.4846,0.9399,0.6252,0.7037,0.7595,0.7548,0.7643
AC018638.5,0.947,0.765,0.5473,0.5498,0.6731,0.7475,0.6093,0.5861,0.439,0.9677
CICP14,0.1358,0.3459,0.0272,0.0827,0.7898,0.4628,0.7165,0.5098,0.5956,0.5991
AC018638.7,0.9379,0.994,0.9731,0.9672,0.9549,0.9834,0.91,0.9908,0.9511,0.8992
FAM71F2,0.4193,0.7313,0.2796,0.0622,0.7646,0.7733,0.362,0.6826,0.3421,0.9989
AC018638.6,0.622,0.897,0.4524,0.9856,0.3809,0.3569,0.4727,0.7183,0.9771,0.6551
FAM71F1,0.7361,0.1918,0.5789,0.2991,0.736,1.0,0.8865,0.7067,1.0,0.8634
CALU,0.0352,0.8819,0.0378,0.4756,0.057,0.9806,0.0185,0.0551,0.2212,0.0192
RN7SL81P,0.785,0.5329,0.3986,0.1904,0.256,0.5341,0.2165,0.8632,0.0512,0.1957
OPN1SW,0.4866,0.3539,0.2019,0.9326,0.3221,0.7793,0.7444,0.0601,0.5701,0.3806
CCDC136,0.5735,0.7704,0.5024,0.7521,0.0601,0.1524,0.7974,0.6902,0.3265,0.2808
FLNC,0.9301,0.8426,0.6266,0.8996,0.8128,0.5854,0.8845,0.919,0.9995,0.8151
FLNC-AS1,0.102,0.0771,0.0001,0.3329,1.0,0.2407,0.6386,0.1908,0.2548,0.0694
ATP6V1F,0.077,0.119,0.4461,0.3553,0.8601,0.4861,0.5543,0.5689,0.6572,0.9142
ATP6V1FNB,0.1089,0.3788,0.8048,0.2494,0.0028,0.2287,0.9573,0.2231,0.1501,0.5688
KCP,0.808,0.5796,0.216,0.1714,0.3603,0.4322,0.3527,0.1919,0.2867,0.8784
IRF5,0.4551,0.5068,0.5124,0.7365,0.2766,0.9535,0.4106,0.2805,0.9052,0.4423
AC025594.2,0.246,0.9705,0.3575,0.6624,0.3523,0.7328,0.555,0.3712,0.7144,0.7371
TNPO3,0.5448,0.3023,0.4504,0.1067,0.6526,0.2288,0.3206,0.102,0.403,0.0459
RN7SL306P,0.5845,0.8432,0.8105,0.943,0.311,0.5144,0.1071,0.3731,1.0,0.5887
ODCP,0.027,0.7644,0.0047,0.2098,0.0919,0.5932,0.3847,0.0293,0.3582,0.1952
TPI1P2,0.0304,0.3958,0.0213,1.0,0.0374,0.7543,0.1337,0.0407,0.4411,0.0976
AC011005.1,0.848,0.6948,0.0885,0.0877,0.5566,0.0808,0.0936,0.1898,0.1916,0.0001
TSPAN33,0.0729,0.1172,0.9032,0.3517,0.8237,0.1435,0.4525,0.1988,0.5838,0.4833
RNY1P11,0.5173,1.0,0.3307,0.7035,0.6821,0.5096,1.0,0.2631,0.6094,0.8656
SMO,0.4805,0.954,0.1606,0.8646,0.4905,0.7803,0.7738,0.2686,0.9435,0.3988
AC011005.4,0.9968,0.6577,0.1414,0.8966,0.7811,0.3859,0.9509,0.4735,0.6995,0.3663
AHCYL2,0.9917,0.5143,0.0776,0.2378,0.249,0.0816,0.1812,0.0325,0.5807,0.0239
AC009244.1,0.126,0.5117,0.0839,0.4911,0.6854,0.0418,0.1687,0.1508,0.8531,0.1275
